STATUS | wrapper  | 2018/03/30 14:29:44 | --> Wrapper Started as Console
INFO   | jvm 1    | 2018/03/30 14:29:45 | 2018-03-30 14:29:45,896 [INFO ][WrapperSimpleAppMain] sysconfig params:SystemConfig [processorBufferLocalPercent=100, frontSocketSoRcvbuf=1048576, frontSocketSoSndbuf=4194304, backSocketSoRcvbuf=4194304, backSocketSoSndbuf=1048576, frontSocketNoDelay=1, backSocketNoDelay=1, maxStringLiteralLength=65535, frontWriteQueueSize=2048, bindIp=0.0.0.0, serverPort=3308, managerPort=9067, charset=utf8, processors=2, processorExecutor=4, timerExecutor=2, managerExecutor=2, idleTimeout=1800000, catletClassCheckSeconds=60, sqlExecuteTimeout=300, processorCheckPeriod=1000, dataNodeIdleCheckPeriod=300000, dataNodeHeartbeatPeriod=10000, clusterHeartbeatUser=_HEARTBEAT_USER_, clusterHeartbeatPass=_HEARTBEAT_PASS_, clusterHeartbeatPeriod=5000, clusterHeartbeatTimeout=10000, clusterHeartbeatRetry=10, txIsolation=3, parserCommentVersion=50148, sqlRecordCount=10, bufferPoolPageSize=2097152, bufferPoolChunkSize=4096, bufferPoolPageNumber=40, maxResultSet=524288, bigResultSizeSqlCount=10, bufferUsagePercent=80, flowControlRejectStrategy=0, clearBigSqLResultSetMapMs=600000, defaultMaxLimit=100, sequnceHandlerType=1, sqlInterceptor=io.mycat.server.interceptor.impl.DefaultSqlInterceptor, sqlInterceptorType=select, sqlInterceptorFile=/mycat/logs/sql.txt, mutiNodeLimitType=0, mutiNodePatchSize=100, defaultSqlParser=druidparser, usingAIO=0, packetHeaderSize=4, maxPacketSize=16777216, mycatNodeId=1]  (io.mycat.MycatServer:MycatServer.java:280) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,947 [INFO ][WrapperSimpleAppMain] useOffHeapForMerge = 1  (io.mycat.memory.MyCatMemory:MyCatMemory.java:53) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,947 [INFO ][WrapperSimpleAppMain] memoryPageSize = 1m  (io.mycat.memory.MyCatMemory:MyCatMemory.java:54) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,947 [INFO ][WrapperSimpleAppMain] spillsFileBufferSize = 1k  (io.mycat.memory.MyCatMemory:MyCatMemory.java:55) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,947 [INFO ][WrapperSimpleAppMain] useStreamOutput = 0  (io.mycat.memory.MyCatMemory:MyCatMemory.java:56) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,947 [INFO ][WrapperSimpleAppMain] systemReserveMemorySize = 384m  (io.mycat.memory.MyCatMemory:MyCatMemory.java:57) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,955 [INFO ][WrapperSimpleAppMain] totalNetWorkBufferSize = 80MB  (io.mycat.memory.MyCatMemory:MyCatMemory.java:58) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,955 [INFO ][WrapperSimpleAppMain] dataNodeSortedTempDir = /mycat  (io.mycat.memory.MyCatMemory:MyCatMemory.java:59) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,958 [INFO ][WrapperSimpleAppMain] mycat.memory.offHeap.size: 1321MB  (io.mycat.memory.MyCatMemory:MyCatMemory.java:122) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,963 [INFO ][WrapperSimpleAppMain] using nio network handler   (io.mycat.MycatServer:MycatServer.java:381) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,973 [INFO ][WrapperSimpleAppMain] $_MyCatManager is started and listening on 9067  (io.mycat.MycatServer:MycatServer.java:397) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,975 [INFO ][WrapperSimpleAppMain] $_MyCatServer is started and listening on 3308  (io.mycat.MycatServer:MycatServer.java:401) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,975 [INFO ][WrapperSimpleAppMain] ===============================================  (io.mycat.MycatServer:MycatServer.java:403) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,975 [INFO ][WrapperSimpleAppMain] Initialize dataHost ...  (io.mycat.MycatServer:MycatServer.java:407) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,975 [INFO ][WrapperSimpleAppMain] init backend myqsl source ,create connections total 10 for hostM1 index :0  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:294) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,976 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,976 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,978 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,979 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,980 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,980 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
